THSCODE;DESCRIPT;LANG
BAK;Ugnsstekt;SV
BOIL;Kokt;SV
BOILDR;Kokt, utan lag;SV
CANN;Konserverat;SV
DRIE;Torkat;SV
FRIE;Stekt;SV
FROZ;Djupfryst;SV
GRIL;Grillat;SV
IND;Industriellt;SV
MASH;Mosat;SV
MIX;Blandat;SV
RAW;Obehandlat;SV
ROAS;Rostat;SV
SALT;Saltat;SV
SEMI;Halvfabrikat;SV
SMOK;Rökt;SV
SOUR;Syrat;SV
X;Icke-definierat;SV
