Nimi;aliases;Isä;attribute:CO2 (kgCO2e);attribute:CO2 (kgCO2e/kg);attribute:CO2 (kgCO2/kWh);attribute:CO2 (gCO2e/l);note;Lähde;
Palmuöljy;;;;2,23;;;;https://www.researchgate.net/post/Are_there_studies_about_impacts_of_coconut_plantations_due_to_the_recent_high_demand_of_coconut_products;
Jogurtti;;;;2,2;;;Jogurtti;http://static.ewg.org/reports/2011/meateaters/pdf/methodology_ewg_meat_eaters_guide_to_health_and_climate_2011.pdf;
Kana, kokonainen;;;;2,12;;;Chicken, whole;https://core.ac.uk/download/pdf/76958641.pdf;
Kurkku, lämmitetty kasvihuone;;;;2,1;;;Cucumbers and gherkins: heated greenhouse, median;https://core.ac.uk/download/pdf/76958641.pdf;
Rypsi;;;;2,09;;;Rape and mustard seed, median;https://core.ac.uk/download/pdf/76958641.pdf;
Palmuöljy;;;;2,024;;;Including iLUC;http://lcafood2014.org/papers/165.pdf;
Soijaöljy;;;;2,024;;;Including iLUC;http://lcafood2014.org/papers/165.pdf;
Parsakaali;;;;2;;;Parsakaali;http://static.ewg.org/reports/2011/meateaters/pdf/methodology_ewg_meat_eaters_guide_to_health_and_climate_2011.pdf;
Tofu, soijavalmiste;;;;2;;;Tofu;http://static.ewg.org/reports/2011/meateaters/pdf/methodology_ewg_meat_eaters_guide_to_health_and_climate_2011.pdf;
Makrilli;;;;1,8;;;Mackerel, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kookos;;;;1,78;;;;https://www.researchgate.net/post/Are_there_studies_about_impacts_of_coconut_plantations_due_to_the_recent_high_demand_of_coconut_products;
Munakoiso, passiivinen kasvihuone;;;;1,77;;;Zucchini: passive greenhouse, median;https://core.ac.uk/download/pdf/76958641.pdf;
Karppi;;;;1,76;;;Carp, median;https://core.ac.uk/download/pdf/76958641.pdf;
Mansikka, lämmitetty kasvihuone;;;;1,64;;;Strawberries: heated greenhouse, median;https://core.ac.uk/download/pdf/76958641.pdf;
Lyyraturska;;;;1,6;;;Pollock, median;https://core.ac.uk/download/pdf/76958641.pdf;
Manteli;;;;1,54;;;Almonds, median;https://core.ac.uk/download/pdf/76958641.pdf;
Pähkinä, pistaasipähkinä;;;;1,53;;;Pistachios, median;https://core.ac.uk/download/pdf/76958641.pdf;
Pähkinä, saksanpähkinä;;;;1,51;;;Walnuts, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kalat;;;;1,5;;;Kala, raaka;Silvenius, Grönroos 2001;
Pähkinä, cashewpähkinä;;;;1,44;;;Cashew nut, median;https://core.ac.uk/download/pdf/76958641.pdf;
Meloni, passiivinen kasvihuone;;;;1,43;;;Melons: passive greenhouse, median;https://core.ac.uk/download/pdf/76958641.pdf;
Auringonkukansiemen, kuorittu;;;;1,41;;;Sunflower seed, median;https://core.ac.uk/download/pdf/76958641.pdf;
Munakoiso;;;;1,35;;;Eggplants (aubergines), median;https://core.ac.uk/download/pdf/76958641.pdf;
Jogurtti, maustamaton, rasvaa 1,5 %;;;;1,31;;;Yoghurt, median;https://core.ac.uk/download/pdf/76958641.pdf;
Leipä, ruis-;;;;1,3;;;Ruisleipä;Nissinen et. al. 2007;
Avokado, punnittu kuorineen ja kivineen;;;;1,3;;;Avocados, median;https://core.ac.uk/download/pdf/76958641.pdf;
Maito, tilamaito, raakamaito, rasvaa 4,4 %, ei lisätty d-vitamiinia;;;;1,29;;;Milk: world average, median;https://core.ac.uk/download/pdf/76958641.pdf;
Silli, mauste/suolasilli, keskiarvo;;;;1,16;;;Herring, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kvinoa, siemen;;;;1,15;;;Quinoa, median;https://core.ac.uk/download/pdf/76958641.pdf;
Sokeri;;;;1,1;;;;MENUTOOL;
Sardiini, keskiarvo, öljyssä ja tomaattikastikkeessa;;;;1,1;;;Pilchard, median;https://core.ac.uk/download/pdf/76958641.pdf;
Paprika, passiivinen lämmitetty kasvihuone;;;;1,1;;;Peppers: passive and heated greenhouse, median;https://core.ac.uk/download/pdf/76958641.pdf;
Linssi, punainen, kuivattu;;;;1,03;;;Lentils, median;https://core.ac.uk/download/pdf/76958641.pdf;
Maito;;;;1;;;;Grönroos, Seppälä 2000;
Pähkinä, maapähkinä;;;;0,99;;;Ground nuts, median;https://core.ac.uk/download/pdf/76958641.pdf;
Pähkinä, hasselpähkinä;;;;0,97;;;Hazelnuts, median;https://core.ac.uk/download/pdf/76958641.pdf;
Karpalo;;;;0,92;;;Cranberries/blueberries, median;https://core.ac.uk/download/pdf/76958641.pdf;
Pensasmustikka;;;;0,92;;;Cranberries/blueberries, median;https://core.ac.uk/download/pdf/76958641.pdf;
Linssi, punainen, kuivattu;;;;0,9;;;Linssit;http://static.ewg.org/reports/2011/meateaters/pdf/methodology_ewg_meat_eaters_guide_to_health_and_climate_2011.pdf;
Seesaminsiemen, kuorineen;;;;0,88;;;Sesame seed, median;https://core.ac.uk/download/pdf/76958641.pdf;
Inkivääri, juurakko, raaka;;;;0,88;;;Ginger, median;https://core.ac.uk/download/pdf/76958641.pdf;
Vadelma;;;;0,84;;;Rasberries, median;https://core.ac.uk/download/pdf/76958641.pdf;
Mustaherukka;;;;0,84;;;Currants and gooseberries, median;https://core.ac.uk/download/pdf/76958641.pdf;
Karviainen;;;;0,84;;;Currants and gooseberries, median;https://core.ac.uk/download/pdf/76958641.pdf;
Parsa, raaka, puhdistettu;;;;0,83;;;Asparagus, median;https://core.ac.uk/download/pdf/76958641.pdf;
Pähkinä, maapähkinä;;;;0,83;;;Peanuts, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kikherne, suolattomassa vedessä;;;;0,77;;;Chick peas, median;https://core.ac.uk/download/pdf/76958641.pdf;
Auringonkukkaöljy;;;;0,76;;;Including iLUC;http://lcafood2014.org/papers/165.pdf;
Soijajuoma, maustamaton, tuotekeskiarvo;;;;0,75;;;Soy-milk, median;https://core.ac.uk/download/pdf/76958641.pdf;
Ruusupapu;;;;0,75;;;Beans: french and runner, median;https://core.ac.uk/download/pdf/76958641.pdf;
Papu, vihreä papu, keitetty;;;;0,75;;;Beans: french and runner, median;https://core.ac.uk/download/pdf/76958641.pdf;
Hunaja;;;;0,75;;;Honey, average, 140-1800 miles;https://asi.ucdavis.edu/sites/g/files/dgvnsk5751/files/inline-files/carbonfootprintofhoneyproduction-report.pdf;
Pintopapu;;;;0,73;;;Beans: pinto USA dried, median;https://core.ac.uk/download/pdf/76958641.pdf;
Banaani, punnittu kuorineen;;;;0,72;;;Musa, bananas, median;https://core.ac.uk/download/pdf/76958641.pdf;
Palkokasvit;;;;0,7;;;Kuiva papu;Katajajuuri 2009, Angervall et. al. 2007, Carlsson-Kanyama 1998;
Paprika, punainen;;;;0,66;;;Capsicum/peppers, median;https://core.ac.uk/download/pdf/76958641.pdf;
Oliivi, keskiarvo, punnittu kivineen, öljyssä, vihreä/musta;;;;0,63;;;Olives, median;https://core.ac.uk/download/pdf/76958641.pdf;
Parsakaali, brokkoli;;;;0,6;;;Broccoli, median;https://core.ac.uk/download/pdf/76958641.pdf;
Mansikka;;;;0,58;;;Strawberries, median;https://core.ac.uk/download/pdf/76958641.pdf;
Valkosipuli;;;;0,57;;;Garlic, median;https://core.ac.uk/download/pdf/76958641.pdf;
Pinaatti;;;;0,54;;;Spinach, median;https://core.ac.uk/download/pdf/76958641.pdf;
Vehnähiutale;;;;0,52;;;Wheat, median;https://core.ac.uk/download/pdf/76958641.pdf;
Meloni;;;;0,51;;;Melons, median;https://core.ac.uk/download/pdf/76958641.pdf;
Greippi, keskiarvo, punnittu kuorineen;;;;0,51;;;Grapefruit and pomelo, median;https://core.ac.uk/download/pdf/76958641.pdf;
Pomelo;;;;0,51;;;Grapefruit and pomelo, median;https://core.ac.uk/download/pdf/76958641.pdf;
Tangeriini;;;;0,51;;;Tangerines/mandarins, median;https://core.ac.uk/download/pdf/76958641.pdf;
Tomaatti;;;;0,51;;;Tomatoes: passive greenhouse, median;https://core.ac.uk/download/pdf/76958641.pdf;
Vehnähiutale;;;;0,5;;;Vehnäjauhot, ryynit;Katajajuuri 2009, Angervall et. al. 2007, Carlsson-Kanyama 1998;
Jauho, vehnäjauho, puolikarkea;;;;0,5;;;Vehnäjauhot, ryynit;Katajajuuri 2009, Angervall et. al. 2007, Carlsson-Kanyama 1998;
Ananas, tuore, punnittu kuorineen;;;;0,5;;;Pineapples, median;https://core.ac.uk/download/pdf/76958641.pdf;
Lehmänpapu;;;;0,49;;;Cowpeas, median;https://core.ac.uk/download/pdf/76958641.pdf;
Soijapapu, kuivattu;;;;0,49;;;Soybean, median;https://core.ac.uk/download/pdf/76958641.pdf;
Fenkoli;;;;0,48;;;Fennel, median;https://core.ac.uk/download/pdf/76958641.pdf;
Artisokka;;;;0,48;;;Artichokes, median;https://core.ac.uk/download/pdf/76958641.pdf;
Maissintähkä, kokonainen;;;;0,47;;;Maize/corn, median;https://core.ac.uk/download/pdf/76958641.pdf;
Mandariini, keskiarvo, punnittu kuorineen;;;;0,45;;;Mandarin, median;https://core.ac.uk/download/pdf/76958641.pdf;
Tomaatti;;;;0,45;;;Tomatoes, median;https://core.ac.uk/download/pdf/76958641.pdf;
Persikka/nektariini, keskiarvo, punnittu kivineen;;;;0,43;;;Peaches and nectarines, median;https://core.ac.uk/download/pdf/76958641.pdf;
Viikuna, kuivattu, punnittu kantoineen;;;;0,43;;;Figs, median;https://core.ac.uk/download/pdf/76958641.pdf;
Ohrahiutale;;;;0,43;;;Barley, median;https://core.ac.uk/download/pdf/76958641.pdf;
Aprikoosi, keskiarvo, punnittu kivineen;;;;0,43;;;Apricot, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kastanja;;;;0,43;;;Chestnuts, median;https://core.ac.uk/download/pdf/76958641.pdf;
Papu;;;;0,43;;;Beans, median;https://core.ac.uk/download/pdf/76958641.pdf;
Mantelijuoma, makeuttamaton, alpro;;;;0,42;;;Almond/coconut milk, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kookosmaito, kookosjuoma;;;;0,42;;;Almond/coconut milk, median;https://core.ac.uk/download/pdf/76958641.pdf;
Hedelmät;;;;0,42;;;Fruit (all field grown fruit), median;https://core.ac.uk/download/pdf/76958641.pdf;
