"name[""en-US""]","name[""fi-FI""]",aliases,parent,attribute:CO₂e (kgCO₂e),attribute:CO₂e (kgCO₂e/kg),attribute:CO₂e (kgCO₂e/kWh),attribute:CO₂e (kgCO₂e/km),attribute:CO₂e (kgCO₂e/l),attribute:CO₂e (kgCO₂e/EUR),note,sourceId
Chick Pea In Unsalted Water,Kikherne suolattomassa vedessä,,,,0.77,,,,,"Chick peas, median",1
"Chick Pea, Dried","Kikherne, kuivattu",,,,0.77,,,,,"Chick peas, median",1
Chicken,Kana,,,,5,,,,,"Broileri, raaka",4
Chicken,Kana,,,,3.65,,,,,"Chicken, median",1
Chicken,Kana,,,,2.12,,,,,"Chicken, whole",1
Chicken Breast With Skin,"Broileri, rintaleike, nahkoineen",,,,2.77,,,,,Chicken breast,1
Chicken eggs,Kananmunat,,,,3.46,,,,,"Eggs, median",1
Chicken eggs,Kananmunat,,,,2.5,,,,,,10
Children's supplies,Lastentarvikkeet,,Supplies,,,,,,,,
Chocolate,Chocolate,,,,3.55,,,,,"Chocolate, 2.9–4.2 kg CO2 eq./kg",11
Cleaning Services,Siivouspalvelut,,Services,,,,,,0.1,Siivouspalvelut arvio,2
Clothes,Vaatteet,,Supplies,,,,,,0.4,Vaatteet,2
"Cocoa Powder, Unsweetened",,,,,3.35,,,,,2.04-4.66 kg,12
Coconut Milk,,,,,0.42,,,,,"Almond/coconut milk, median",1
Coconut Oil,Kookosöljy,,,,1.78,,,,,,13
Cod,Turska,,Fish,,3.51,,,,,"Cod, median",1
Coffee,,,,,4.98,,,,,"Coffee from Costa-Rica, 2012",14
Colour Collector Cloth,Liankerääjä,"[""Tekst.pesu- & Puhd.ain.""]",Hygiene products,,,,,,,,
Commerce,Kaupankäynti,,,,,,,,,,
Condiments,,,,,,,,,0.7,Plant based groceries,2
Construction,Rakentaminen,,Supplies,,,,,,,,
"Corn Cookie, Lentil and Sea Salt",Maissikakut Linssi ja Merisuola,,Savoury biscuits,,,,,,,,
"Corn Snack, Puffed, Corn Puffs Without Added Salt",,"[""Maissikakku""]",,,,,,,,,
Corn syrup,Maissisiirappi,,Sugar and syrups,,2.5,,,,,"Corn syrup, graph",15
Cosmetic products,Kosmetiikka,,Supplies,,,,,,0.4,Personal hygiene and cosmetic care,2
"Cottage cheese, fat-free, low-lactose",,,,,3.7,,,,,"Cheese, cottage 20+, 4% fat",7
Cowpea,Lehmänpapu,,Pulses vegetables,,0.49,,,,,"Cowpeas, median",1
Cranberry,Karpalo,,,,0.92,,,,,"Cranberries/blueberries, median",1
Cream,,,,,5.64,,,,,"Cream, median",1
Cucumber,Kurkku,,,,5,,,,,"Tomaatti, kurkku (kasvihuone talvella)",4
Cucumber,Kurkku,,,,2.1,,,,,"Cucumbers and gherkins: heated greenhouse, median",1
Cucumber,Kurkku,,,,0.23,,,,,"Cucumber/gherkins, median",1
"Date, Dried, With Stone",,,,,0.32,,,,,"Dates, median",1
Dental care,Hammashoito,,Services,,,,,,,,
Deposit,Pantti,,Commerce,,,,,,,,
Deposit return,Pullopalautus,,Commerce,,,,,,,,
Diesel,Diesel,"[""Dieselöljy""]",Fuel,,,,,2.68,,,3
Diesel,,,,,,,,2.66,,,16
Diesel,Diesel,,,,,,,2.64,,,17
Diesel,Diesel,,,,,,,3,,,18
"Dipmix, Milk-Free",,,,,,,,,0.7,Plant based groceries,2
Discount,Alennus,,Commerce,,,,,,,,
Disposable Dish,Kertakäyttöastiat,"[""Kertak.kattaustuott.""]",Kitchen,,,,,,,,
Duck,Ankka,,Birds,,3.09,,,,,"Duck, median",1
E10 fuel,E10 bensiini,,Fuel,,,,,2.26,,With ethanol combustion,3
E10 fuel,,,,,,,,2.21,,,16
E85 fuel,E85 bensiini,,Fuel,,,,,1.61,,,16
Earbuds,Nappikuulokkeet,,Electronics,,,,,,,,
Eel,Ankerias,,Fish,,3.88,,,,,"Eel, median",1
Electricity,Sähkö,,Electricity,,,1,,,,,43
Electronics,Elektroniikka,,Supplies,,,,,,0.82,Elektroniikka,2
"Fermented milk products, other",,,,,1.31,,,,,"Yoghurt, median",1
Ferry,,,Travel,,,,0.144,,,"Car ferry, 18 knots",19
Ferry,,,,,,,,,1.4,Boat trips,2
Ferry 400km Helsinki-Stockholm,Autolautta 400 km Helsinki-Tukholma,,Travel,95,,,,,,Autolautta 400 km Helsinki-Tukholma,19
Ferry 80km Helsinki-Tallinn,Autolautta 80 km Helsinki-Tallinna,,Travel,35,,,,,,Autolautta 80 km Helsinki-Tallinna,19
"Fig, Dried","Viikuna, kuivattu",,,,0.43,,,,,"Figs, median",1
Fish,,,,,3.49,,,,,"Fish: all species, median",1
Fish,,,,,1.5,,,,,"Kala, raaka",20
"Fish Ball, Industrial",,"[""Saaristolaispyörykät""]",,,,,,,,,
Fish dishes,,,,,,,,,1.1,Animal based groceries,2
Fish oil,,,Supplies,,,,,,1.1,Animal based groceries,2
Flight 1603km Helsinki-Düsseldorf,Lento 1603 km Helsinki-Düsseldorf,,Travel,255,,,,,,Lento 1603 km Helsinki-Düsseldorf,21
Flight 4700km Helsinki-Las Palmas,Lento 4700 km Helsinki-Las Palmas,,Travel,747,,,,,,Lento 4700 km Helsinki-Las Palmas,21
Flight 515km Helsinki-Oulu,Lento 515 km Helsinki-Oulu,,Travel,98,,,,,,Lento 515 km Helsinki-Oulu,21
Flight 8317km Helsinki-Bangkok,Lento 8317 km Helsinki-Bangkok,,Travel,1012,,,,,,Lento 8317 km Helsinki-Bangkok,21
Florence Fennel,,,,,0.48,,,,,"Fennel, median",1
Flour,,,,,,,,,0.7,Plant based groceries,2
"Flour, Barley Flour",,,,,0.43,,,,,"Barley, median",1
"Flour, Barley, Whole Grain Barley Flour",,,,,0.43,,,,,"Barley, median",1
"Flour, Coarse Wheat Flour",,,,,0.5,,,,,"Vehnäjauhot, ryynit",4
"Flour, Dark Wheat Flour",,,,,0.5,,,,,"Vehnäjauhot, ryynit",4
"Flour, Oat Flour","Jauho, kaurajauho",,,,0.38,,,,,"Oats, median",1
"Flour, Wheat Flour, Semi-Coarse","Jauho, vehnäjauho, puolikarkea",,,,0.5,,,,,"Vehnäjauhot, ryynit",4
"Flour, Whole Wheat Flour",,,,,0.5,,,,,"Vehnäjauhot, ryynit",4
Flowers,Kukat,,Supplies,,,,,,,,
"Fresh Pasta, Contains Egg",,,,,,,,,1.1,Animal based groceries,2
Fried onions,Paahdettu sipulirouhe,,Spices,,,,,,,,
"Frozen Vegetable Mix, Root Vegetables",,"[""Keittovihannekset""]",,,,,,,,,
Fruit and berry dishes,,,,,,,,,0.7,Plant based groceries,2
Fruits,Hedelmät,,,,0.42,,,,,"Fruit (all field grown fruit), median",1
Fruits,Hedelmät,,,,0.2,,,,,"Hedelmät, marjat",4
Fruits,,,,,,,,,0.7,Plant based groceries,2
Fuel,Polttoaine,,Travel,,,,,,,,
Furniture,Huonekalut,,Interior design,,,,,,0.42,"Huonekalut, matot",2
Garden Lettuce,,,,,3.7,,,,,"Lettuce: heated greenhouse, median",1
Garlic,Valkosipuli,,,,0.57,,,,,"Garlic, median",1
"Gasoline, petrol",Bensiini,,Fuel,,,,,2,,,17
"Gasoline, petrol",,,,,,,,2,,,16
"Gasoline, petrol",Bensiini,,,,,,,2,,,18
"Ginger Root, Raw","Inkivääri, juurakko, raaka",,,,0.88,,,,,"Ginger, median",1
Gooseberry,Karviainen,,,,0.84,,,,,"Currants and gooseberries, median",1
"Grape, Average, Green Or Red",,,,,0.37,,,,,"Grapes, median",1
"Grapefruit, Average, With Skin",,,,,0.51,,,,,"Grapefruit and pomelo, median",1
Guava,Guava,,,,0.28,,,,,"Guavas, median",1
Haddock,Kolja,,Fish,,3.41,,,,,"Haddock, median",1
Hairdresser,Kampaamo,,Recreational services,,,,,,,,
"Ham, Cooked, 2% Fat",,,,,5.77,,,,,Ham,1
Headphones,Kuulokkeet,,Electronics,,,,,,,,
Healthcare products,Terveydenhoitotuotteet,,Supplies,,,,,,0.51,"Kestokulutustavarat, terveydenhoitotuotteet keskiarvo",2
Healthcare services,Terveydenhuoltopalvelut,,Services,,,,,,0.2,Terveydenhuolto- ja eläinlääkintäpalvelut,2
"Herring, Pickled/Salted, Average",,,,,1.16,,,,,"Herring, median",1
Honey,Hunaja,,,,0.75,,,,,"Honey, average, 140-1800 miles",15
Housekeeping products,Kodinhoitotuotteet,,Supplies,,,,,,0.4,Housekeeping products and services,2
"Hummus, Chick Pea Paste",,"[""Hummus""]",,,,,,,0.7,Plant based groceries,2
Hygiene products,Hygieniatuotteet,,Supplies,,,,,,0.4,Personal hygiene and cosmetic care,2
"Ice Cream, Cream Based",,,,,,,,4.2,,"Ice cream, vanilla regular",22
Iceberg Lettuce,,"[""Jäävuorisalaatti"", ""Jääsalaatti""]",,,0.56,,,,,Including waste,8
Interior design,Sisustus,,Supplies,,,,,,0.67,"Kodintaloustekstiilit, sisustus, astiat keskiarvo",2
iPhone 12 128GB,iPhone 12 128 Gt,,Smartphone,75,,,,,,,23
iPhone 12 256GB,iPhone 12 256 Gt,,Smartphone,85,,,,,,,23
iPhone 12 64GB,iPhone 12 64 Gt,,Smartphone,,,,,,,,23
