"name[""en-US""]","name[""fi-FI""]",aliases,parent,attribute:CO₂e (kgCO₂e),attribute:CO₂e (kgCO₂e/kg),attribute:CO₂e (kgCO₂e/kWh),attribute:CO₂e (kgCO₂e/km),attribute:CO₂e (kgCO₂e/l),attribute:CO₂e (kgCO₂e/EUR),note,sourceId
"Sardine, Average, In Oil And Tomato Sauce",,,,,1.1,,,,,"Pilchard, median",1
Sausages,,,,,5.64,,,,,"Grilled sausage, high meat content, life cycle, cradle to grave, approximate value",28
Savoury bakery,,,,,,,,,1.1,Animal based groceries,2
Savoury biscuits,,,,,,,,,0.7,Plant based groceries,2
Sea bass,Meriahven,,Fish,,3.27,,,,,"Sea bass, median",1
Services,Palvelut,,,,,,,,0.3,Muut palvelut,2
"Sesame Seed, White, Without Hull","Seesaminsiemen, valkoinen, kokonainen, kuorittu",,,,0.88,,,,,"Sesame seed, median",1
"Sesame Seed, With Hull","Seesaminsiemen, kuorineen",,,,0.88,,,,,"Sesame seed, median",1
Shoes,Jalkineet,,Clothes,,,,,,0.64,Jalkineet,2
Shrimp,Katkarapu,,,,7.8,,,,,"Prawns/shrimp, median",1
Skincare products,Ihonhoitotuotteet,,Hygiene products,,,,,,,,
Smartphone,Älypuhelin,,Electronics,,,,,,,,
Snacks,Naposteltavat,"[""Snacksit""]",,,,,,,0.7,Plant based groceries,1
"Soft Drink, Lemonade",Virvoitusjuoma,"[""Coca-Cola"", ""Pepsi"", ""Fanta"", ""Sprite"", ""7up"", ""Jaffa""]",,,,,,0.2,,Virvoitusjuomat,36
Soil,Multa,"[""Kukkamulta""]",,,,,,,3.36,Plant growing products,2
Soup vegetables,Kuivatut keittovihannekset,"[""Kuivattu keittovihannes""]",Spices,,,,,,,,
Soy Sauce,,,,,,,,,0.7,Plant based groceries,2
"Soya Beans, Dried","Soijapapu, kuivattu","[""Soijapapu""]",,,0.49,,,,,"Soybean, median",1
"Soya Drink, Plain, Average Of Industrial Products",,,,,0.75,,,,,"Soy-milk, median",1
"Soya mince, white or dark",,,,,0.49,,,,,"Soybean, median",1
Soybean Oil,Soijaöljy,,,,,,,2,,Including iLUC,32
Spices,,"[""Mausteseos""]",,,,,,,0.7,Plant based groceries,2
Spinach,Pinaatti,"[""Lehtipinaatti""]",,,0.54,,,,,"Spinach, median",1
Strawberry,Mansikka,,,,1.64,,,,,"Strawberries: heated greenhouse, median",1
Strawberry,Mansikka,,,,0.58,,,,,"Strawberries, median",1
Sugar,Sokeri,"[""Taloussokeri""]",,,1.1,,,,,,10
Sunflower Oil,Auringonkukkaöljy,,,,0.76,,,,,"Sunflower oil, Including iLUC",
Sunflower Seed,"Auringonkukansiemen, kuorittu",,,,1.41,,,,,"Sunflower seed, median",1
Supplies,Tarvikkeet,,,,,,,,0.51,"Kestokulutustavarat, terveydenhoitotuotteet keskiarvo",2
Surgical mask,Kiruginen suu-nenäsuojus,,Healthcare products,0.059,,,,,,,37
"Swede, Rutabaga",Lanttu,,,,0.29,,,,,Swedes/rutabage median,1
Sweet Bakery,,,,,2.5,,,,,"Pastry, including waste, secondary source",7
Sweet biscuits,,,,,2.5,,,,,"Biscuit, including waste, secondary source",7
Sweet Corn Kernels,,,,,0.47,,,,,"Maize/corn, median",1
"Sweet Corn, Corn On The Cob","Maissintähkä, kokonainen","[""Maissintähkä""]",,,0.47,,,,,"Maize/corn, median",1
"Sweet Pepper, Average",,,,,1.1,,,,,"Peppers: passive and heated greenhouse, median",1
"Sweet Pepper, Average",,,,,0.66,,,,,"Capsicum/peppers, median",1
Tableware,Astiat,,Kitchen,0.67,,,,,0.67,"Kodintaloustekstiilit, sisustus, astiat keskiarvo",2
Tangerine,Tangeriini,,Citrus fruit,,0.51,,,,,"Tangerines/mandarins, median",1
Tea,,,,,7.035,,,,,,38
Telecommunication services,Tietoliikennepalvelut,,Services,,,,,,0.28,"Telephone, the internet, etc. (communication)",2
Textiles,Tekstiilit,,Supplies,,,,,,0.67,"Kodintaloustekstiilit, sisustus, astiat keskiarvo",2
"Tofu, Firm, Soya Product","Tofu, kova/kiinteä, soijavalmiste",,,,2,,,,,Tofu,27
"Tofu, Soft, Soya Product","Tofu, pehmeä, soijavalmiste","[""Tofu""]",,,2,,,,,Tofu,27
Toilet paper,Vessapaperi,"[""Wc-paperi""]",Hygiene products,0.03,,,,,,Paper towel per piece,
Tomato,Tomaatti,"[""Kirsikkatomaatti"", ""Luumutomaatti"", ""Miniluumutomaatti""]",,,5,,,,,"Tomaatti, kurkku (kasvihuone talvella)",4
Tomato,Tomaatti,,,,0.51,,,,,"Tomatoes: passive greenhouse, median",1
Tomato,Tomaatti,,,,0.45,,,,,"Tomatoes, median",1
Tools,Työkalut,,Supplies,,,,,,0.51,Kodinkoneet ja työkalut,2
"Train, local",Lähijuna,,Travel,1,,,,,,Lähijuna,39
"Train, long-distance",Kaukojuna,,Travel,1,,,,,,Kaukojuna,40
"Train, subway",Metro,,Travel,1,,,,,,Metro,39
Tram,Raitiovaunu,,Travel,1,,,,,,Raitiovaunu,39
Travel,Matkustus,,,,,,,,,,
Trout,,,,,4.2,,,,,"Trout, median",1
Tulips,Tulppaanit,,Flowers,0.163,,,,,,"Tulips, 10-pack, cultivated in greenhouses, produced by using renewable energy. Average energy consumption.",41
Tuna,,,,,2.95,,,,,Tuna,1
Turkey Cold Cuts,,,,,7.17,,,,,"Turkey, median",1
Turkey With Skin,,,,,7.17,,,,,"Turkey, median",1
Vegetable Bouillon Cube,,,,,,,,,0.7,Plant based groceries,2
Vegetable dishes,,,,,,,,,0.7,Plant based groceries,2
Vegetables,,,,,,,,,0.7,Plant based groceries,2
Wasabi,"Maustekrassi, wasabi",,Spices,,,,,,,,
Washing liquid,Pesuneste,,Hygiene products,,,,,,0.6,"Pesu-, puhdistus- ja kiillotusaineet, hajusteet ja toalettivalmisteet",2
"Watermelon, With Skin",,,,,0.32,,,,,"Water melons, median",1
Wheat,,,,,0.52,,,,,"Wheat, median",1
Wheat,,,,,0.5,,,,,"Vehnäjauhot, ryynit",4
Wheat Tortilla,,"[""Tortilla""]",,,1.55,,,,,"Bread, cradle-to-grave, 0.6-2.5 kg",6
Whiting,Valkoturska,,Fish,,2.66,,,,,"Whiting, median",1
Wines,,,,,,,,1.70666667,,"1.28 kgCO₂e wine bottle, cradle-to-grave",42
Yarn,Lanka,"[""Arwetta""]",Supplies,,,,,,0.67,Textile yarn,2
Yoghurt  <= 1 %,,,,,1.31,,,,,"Yoghurt, median",1
Yoghurt > 1 %,,,,,1.31,,,,,"Yoghurt, median",1
"Zucchini, Summer Squash","Kesäkurpitsa, zucchini",,,,1.77,,,,,"Zucchini: passive greenhouse, median",1
"Zucchini, Summer Squash","Kesäkurpitsa, zucchini",,,,0.21,,,,,"Zucchini/button squash, median",1
