"name[""en-US""]","name[""fi-FI""]",aliases,parent,attribute:GHG (kgCO₂e),attribute:GHG (kgCO₂e/kg),attribute:GHG (kgCO₂e/kWh),attribute:GHG (kgCO₂e/km),attribute:GHG (kgCO₂e/l),attribute:GHG (kgCO₂e/EUR),note,sourceId
Carp,Karppi,,Fish,,"1,76",,,,,"Carp, median",1
Carpets,Matot,,Interior design,,,,,,"0,42","Huonekalut, matot",2
Carrot,Porkkana,,,,"0,2",,,,,"Carrots, median",1
Cashew Cranberry Mix,,,Snacks,,,,,,,,
Cauliflower,Kukkakaali,,,,"0,36",,,,,"Cauliflowers and broccoli, median",1
Celery,,,,,"0,18",,,,,"Celery, median",1
Ceramics,Keramiikka,,Supplies,,,,,,"0,65",Ceramic products for other than construction purposes,2
Cereals,,,,,,,,,"0,7",Plant based groceries,2
"Champignon, Fresh",Herkkusieni,,,,"0,27",,,,,"Mushrooms, median",1
"Cheese Pasty, Vaasan Kotiuunin",,"[""Mozzarella pasteija""]",,,,,,,,,
"Cheese, average",,"[""Juusto"", ""Juustoa""]",,,,,,,,,
"Cheese, Cheddar Type, 34% Fat",,"[""Cheddar cheese"", ""Cheddar-juusto"", ""Cheddarsulatejuusto""]",,,,,,,,,
"Cheese, Emmental, 27-30% Fat, Red-Label",,"[""Maasdam""]",,,,,,,,,
"Cheese, Gouda, Average, 28-30% Fat",,"[""Gouda"", ""Vanha gouda""]",,,,,,,,,
"Cheese, Hard Cheese, Goat Cheese, 20-25% Fat",,"[""Manchego""]",,,,,,,,,
"Cheese, ripened cheese <= 17 %",,,,,"8,55",,,,,"Cheese, median",1
"Cheese, ripened cheese <= 17 %",,,,,10,,,,,Juusto,9
"Cheese, ripened cheese <= 17 %",,,,,,,,,"2,44",Dairy products and ice cream,2
"Cheese, ripened cheese > 17 %",,,,,"8,55",,,,,"Cheese, median",1
"Cheese, ripened cheese > 17 %",,,,,10,,,,,Juusto,9
"Cheese, ripened cheese > 17 %",,,,,,,,,"2,44",Dairy products and ice cream,2
"Cheese, Turunmaa/Oltermanni, 30% Fat",,"[""Oltermanni"", ""Kärtner Rahmlaib"", ""Appenzeller Extra"", ""Vuorijuusto""]",,,,,,,,,
"Cheese, unripened, fresh cheese <=15 %",,,,,"8,55",,,,,"Cheese, median",1
"Cheese, unripened, fresh cheese <=15 %",,,,,10,,,,,Juusto,9
"Cheese, unripened, fresh cheese <=15 %",,,,,,,,,"2,44",Dairy products and ice cream,2
"Cheese, unripened, fresh cheese >15 %",,,,,"8,55",,,,,"Cheese, median",1
"Cheese, unripened, fresh cheese >15 %",,,,,10,,,,,Juusto,9
"Cheese, unripened, fresh cheese >15 %",,,,,,,,,"2,44",Dairy products and ice cream,2
Cherry With Stone,"Kirsikka, punnittu kivineen",,,,"0,39",,,,,"Cherries, median",1
Cherry Without Stone,,,,,"0,39",,,,,"Cherries, median",1
Chestnut,Kastanja,,,,"0,43",,,,,"Chestnuts, median",1
Chewing gum,Purukumi,,Hygiene products,,"2,6",,,,,"Including waste, secondary source",7
Chick Pea In Unsalted Water,Kikherne suolattomassa vedessä,,,,"0,77",,,,,"Chick peas, median",1
"Chick Pea, Dried","Kikherne, kuivattu",,,,"0,77",,,,,"Chick peas, median",1
Chicken,Kana,,,,"2,12",,,,,"Chicken, whole",1
Chicken,Kana,,,,"3,65",,,,,"Chicken, median",1
Chicken,Kana,,,,5,,,,,"Broileri, raaka",4
Chicken Breast With Skin,"Broileri, rintaleike, nahkoineen",,,,"2,77",,,,,Chicken breast,1
Chicken eggs,Kananmunat,,,,"2,5",,,,,,10
Chicken eggs,Kananmunat,"[""Ulkomuna"", ""Kultamuna"", ""Vapaan kanan munat""]",,,"3,46",,,,,"Eggs, median",1
Children's supplies,Lastentarvikkeet,,Supplies,,,,,,,,
"Chili, Green, Raw",,"[""Chili pepper""]",,,"1,1",,,,,"Peppers: passive and heated greenhouse, median",1
Chocolate,Chocolate,,,,"3,55",,,,,"Chocolate, 2.9–4.2 kg CO2 eq./kg",11
"Chocolate Bar, Average",,"[""Mountone"", ""Susu suklaapatukka"", ""Suklaapatukka""]",,,,,,,,,
"Chocolate Bar, Caramel And Cookie, Twix",,"[""Kismet""]",,,,,,,,,
"Chocolate Biscuit, Industrial, Average",,"[""Nutella B-ready""]",,,,,,,,,
"Chocolate Biscuit, Industrial, Average",,"[""Suklaakeksi"", ""Fazerina suklaakeksi""]",,,,,,,,,
Cleaning Services,Siivouspalvelut,,Services,,,,,,"0,1",Siivouspalvelut arvio,2
Clothes,Vaatteet,"[""Käsineet"", ""Sukat"", ""Tights""]",Supplies,,,,,,"0,4",Vaatteet,2
Cocoa powder with sugar,,,,,"3,35",,,,,Cocoa 2.04-4.66 kg,12
"Cocoa Powder, Unsweetened",,,,,"3,35",,,,,Cocoa 2.04-4.66 kg,12
Coconut Milk,,"[""Coconut cream"", ""Coconut creamy"", ""Kookoskerma"", ""Kookoskermaisessa""]",,,"0,42",,,,,"Almond/coconut milk, median",1
Coconut Oil,Kookosöljy,,,,"1,78",,,,"0,7",Plant based groceries,2
"Coconut Water, Unsweetened",,"[""Kookosvesi maustamaton luomu""]",,,,,,,,,
Cod,Turska,,Fish,,"3,51",,,,,"Cod, median",1
Coffee,,,,,,,,"0,33",,,7
Coffee,,,,,"4,98",,,,,"Coffee from Costa-Rica, 2012",14
"Cold cuts, sausages",,,,,5,,,,,"Sianliha, raaka",4
Colour Collector Cloth,Liankerääjä,"[""Tekst.pesu- & Puhd.ain.""]",Hygiene products,,,,,,,,
Commerce,Kaupankäynti,,Services,,,,,,,,
Condiments,,,,,,,,,"0,7",Plant based groceries,2
Construction,Rakentaminen,,Supplies,,,,,,,,
"Cooking Cream, Vegetable Fat, 13% Fat, Low-Lactose",,"[""Oatly iMat"", ""Kauraruoka""]",Oat and oat products,,"0,56",,,,,Oatly iMat,29
"Corn Cookie, Lentil and Sea Salt",Maissikakut Linssi ja Merisuola,,Savoury biscuits,,,,,,,,
"Corn Snack, Puffed, Corn Puffs Without Added Salt",,"[""Maissikakku""]",,,,,,,,,
Corn syrup,Maissisiirappi,,Sugar and syrups,,"2,5",,,,,"Corn syrup, graph",15
Cosmetic products,Kosmetiikka,,Supplies,,,,,,"0,4",Personal items,2
"Cottage cheese, fat-free, low-lactose",,,,,"3,7",,,,,"Cheese, cottage 20+, 4% fat",7
