"name[""en-US""]";"name[""fi-FI""]";aliases;parent;attribute:GHG (kgCO₂e);attribute:GHG (kgCO₂e/kg);attribute:GHG (kgCO₂/kWh);attribute:GHG (kgCO₂e/km);attribute:GHG (kgCO₂e/l);attribute:GHG (kgCO₂e/EUR);attribute:Land use (m²/kg);attribute:Land use (m²/l);attribute:Eutrophication (gPO₄eq/kg);attribute:Eutrophication (gPO₄eq/l);attribute:Freshwater footprint (l/kg);attribute:Freshwater footprint (l/l);note;sourceId
Car supplies;Autotarvikkeet;"[""Lasinpesuneste""]";Supplies;;;;;;0,86;;;;;;;Motor vehicle and motor parts and supplies;2
Car supplies;Autotarvikkeet;"[""Lasinpesuneste""]";Supplies;;;;;;0,86;;;;;;;Motor vehicle and motor parts and supplies;2
Car wash;Autopesu;"[""Pesut"", ""Peruspesu""]";Services;;;;;;;;;;;;;;
Cardboard box;Pahvilaatikko;;Supplies;;;;;;0,72;;;;;;;Paper, carton and cardboard products;2
Cardboard box;Pahvilaatikko;;Supplies;;;;;;0,72;;;;;;;Paper, carton and cardboard products;2
Carpets;Matot;;Interior design;;;;;;0,42;;;;;;;Huonekalut, matot;2
Carpets;Matot;;Interior design;;;;;;0,42;;;;;;;Huonekalut, matot;2
Cashew Cranberry Mix;;;Snacks;;;;;;;;;;;;;;
Ceramics;Keramiikka;;Supplies;;;;;;0,65;;;;;;;Ceramic products for other than construction purposes;2
Ceramics;Keramiikka;;Supplies;;;;;;0,65;;;;;;;Ceramic products for other than construction purposes;2
Cereals;;;;;;;;;0,7;;;;;;;Plant based groceries;2
Cereals;;;;;;;;;0,7;;;;;;;Plant based groceries;2
Cheese Pasty, Vaasan Kotiuunin;;"[""Mozzarella pasteija""]";;;;;;;;;;;;;;;
Cheese, average;;"[""Juusto"", ""Juustoa""]";;;;;;;;;;;;;;;
Cheese, Cheddar Type, 34% Fat;;"[""Cheddar cheese"", ""Cheddar-juusto"", ""Cheddarsulatejuusto""]";;;;;;;;;;;;;;;
Cheese, Emmental, 27-30% Fat, Red-Label;;"[""Maasdam""]";;;;;;;;;;;;;;;
