"id","code","name","parentId"
45,"FOL","{""en-US"": ""Folate, total"", ""fi-FI"": ""Folaatti, kokonais-"", ""sv-SE"": ""Folat, total""}",44
46,"NIAEQ","{""en-US"": ""Niacin equivalents, total"", ""fi-FI"": ""Niasiiniekvivalentti ne"", ""sv-SE"": ""Niacinekvivalenter""}",44
47,"NIA","{""en-US"": ""Niacin, preformed (nicotinic acid + nicotinamide)"", ""fi-FI"": ""Niasiini (nikotiinihappo + nikotiiniamidi)"", ""sv-SE"": ""Niacin (nikotinsyra+nikotinamid)""}",44
48,"VITPYRID","{""en-US"": ""Vitamers pyridoxine (hydrochloride)"", ""fi-FI"": ""Pyridoksiini vitameerit (vetykloridi) (b6)"", ""sv-SE"": ""Pyridoxin vitamerer (hydroklorid)""}",44
49,"RIBF","{""en-US"": ""Riboflavine"", ""fi-FI"": ""Riboflaviini (b2)"", ""sv-SE"": ""Riboflavin""}",44
50,"THIA","{""en-US"": ""Thiamin (vitamin b1)"", ""fi-FI"": ""Tiamiini (b1)"", ""sv-SE"": ""Tiamin (vitamin b1)""}",44
51,"FSVITAM","{""en-US"": ""Fat soluble vitamins"", ""fi-FI"": ""Rasvaliukoiset vitamiinit"", ""sv-SE"": ""Fettlösliga vitaminer""}",43
52,"VITA","{""en-US"": ""Vitamin a  retinol activity equivalents"", ""fi-FI"": ""A-vitamiini rae"", ""sv-SE"": ""Vitamin a rae""}",51
53,"RETOL","{""en-US"": ""Retinol"", ""fi-FI"": ""Retinoli"", ""sv-SE"": ""Retinol""}",51
54,"CAROTENS","{""en-US"": ""Carotenoids, total"", ""fi-FI"": ""Karotenoidit"", ""sv-SE"": ""Karotenoider, totalt""}",51
55,"CARTB","{""en-US"": ""Beta-carotene, total"", ""fi-FI"": ""Beetakaroteeni, yhteensä"", ""sv-SE"": ""Beta-karoten, totalt""}",51
56,"VITB12","{""en-US"": ""Vitamin b-12 (cobalamin)"", ""fi-FI"": ""B12-vitamiini (kobalamiini)"", ""sv-SE"": ""Vitamin b12 (kobalamin)""}",44
57,"VITC","{""en-US"": ""Vitamin c (ascorbic acid)"", ""fi-FI"": ""C-vitamiini"", ""sv-SE"": ""Vitamin c (askorbinsyra)""}",44
58,"VITD","{""en-US"": ""Vitamin d"", ""fi-FI"": ""D-vitamiini"", ""sv-SE"": ""Vitamin d""}",51
59,"VITE","{""en-US"": ""Vitamin e  alphatocopherol"", ""fi-FI"": ""E-vitamiini alfatokoferoli"", ""sv-SE"": ""Vitamin e, alfatokoferol""}",51
60,"VITK","{""en-US"": ""Vitamin k, total"", ""fi-FI"": ""K-vitamiini"", ""sv-SE"": ""Vitamin k, totalt""}",51
61,"MINERAL","{""en-US"": ""Minerals"", ""fi-FI"": ""Kivennäis- ja hivenaineet"", ""sv-SE"": ""Mineralämnen""}",NULL
62,"MACROELM","{""en-US"": ""Macroelements"", ""fi-FI"": ""Kivennäisaineet"", ""sv-SE"": ""Makroelement""}",61
63,"CA","{""en-US"": ""Calcium"", ""fi-FI"": ""Kalsium"", ""sv-SE"": ""Kalcium""}",62
64,"TRACEELM","{""en-US"": ""Trace elements"", ""fi-FI"": ""Hivenaineet"", ""sv-SE"": ""Spårelement""}",61
65,"CR","{""en-US"": ""Chromium"", ""fi-FI"": ""Kromi"", ""sv-SE"": ""Krom""}",64
66,"CU","{""en-US"": ""Copper"", ""fi-FI"": ""Kupari"", ""sv-SE"": ""Koppar""}",64
67,"FD","{""en-US"": ""Fluoride (fluorine)"", ""fi-FI"": ""Fluoridi"", ""sv-SE"": ""Fluorid (fluor)""}",64
68,"FE","{""en-US"": ""Iron, total"", ""fi-FI"": ""Rauta"", ""sv-SE"": ""Järn""}",64
69,"ID","{""en-US"": ""Iodide (iodine)"", ""fi-FI"": ""Jodidi (jodi)"", ""sv-SE"": ""Jodid (jod)""}",64
70,"K","{""en-US"": ""Potassium"", ""fi-FI"": ""Kalium"", ""sv-SE"": ""Kalium""}",62
71,"MG","{""en-US"": ""Magnesium"", ""fi-FI"": ""Magnesium"", ""sv-SE"": ""Magnesium""}",62
72,"MN","{""en-US"": ""Manganese"", ""fi-FI"": ""Mangaani"", ""sv-SE"": ""Mangan""}",64
73,"MO","{""en-US"": ""Molybdenum"", ""fi-FI"": ""Molybdeeni"", ""sv-SE"": ""Molybden""}",64
74,"NA","{""en-US"": ""Sodium"", ""fi-FI"": ""Natrium"", ""sv-SE"": ""Natrium""}",62
75,"NACL","{""en-US"": ""Salt"", ""fi-FI"": ""Suola"", ""sv-SE"": ""Salt""}",62
76,"NITROCMP","{""en-US"": ""Nitrogen components"", ""fi-FI"": ""Typpiyhdisteet"", ""sv-SE"": ""Kväveföreningar""}",NULL
77,"NITROGEN","{""en-US"": ""Nitrogen"", ""fi-FI"": ""Typpi"", ""sv-SE"": ""Kväve""}",76
78,"NT","{""en-US"": ""Nitrogen, total"", ""fi-FI"": ""Typpi, yhteensä"", ""sv-SE"": ""Kväve, totalt""}",77
79,"P","{""en-US"": ""Phosphorus"", ""fi-FI"": ""Fosfori"", ""sv-SE"": ""Fosfor""}",62
80,"SE","{""en-US"": ""Selenium, total"", ""fi-FI"": ""Seleeni"", ""sv-SE"": ""Selen""}",64
81,"ZN","{""en-US"": ""Zinc"", ""fi-FI"": ""Sinkki"", ""sv-SE"": ""Zink""}",64
82,"FAT","{""en-US"": ""Fat"", ""fi-FI"": ""Rasva"", ""sv-SE"": ""Fett""}",NULL
83,"FATACID","{""en-US"": ""Fatty acids"", ""fi-FI"": ""Rasvahapot"", ""sv-SE"": ""Fettsyror""}",82
84,"FAFRE","{""en-US"": ""Fatty acids, total"", ""fi-FI"": ""Rasvahapot yhteensä"", ""sv-SE"": ""Fettsyror, totalt""}",83
85,"TRIGLYSE","{""en-US"": ""Triglycerides"", ""fi-FI"": ""Triglyseridit"", ""sv-SE"": ""Triglycerider""}",82
86,"FACIDCTG","{""en-US"": ""Fatty acids, total, calculated as tag equivalents"", ""fi-FI"": ""Rasvahapot yhteensä, laskettu tag ekvivalenteiksi"", ""sv-SE"": ""Fettsyror, totalt, beräknade som tag ekvivalenter""}",85
87,"FAPU","{""en-US"": ""Fatty acids, total polyunsaturated"", ""fi-FI"": ""Rasvahapot monityydyttymättömät"", ""sv-SE"": ""Fettsyror, fleromättade""}",83
88,"FAMCIS","{""en-US"": ""Fatty acids, total monounsaturated cis"", ""fi-FI"": ""Rasvahapot yksittäistyydyttymättömät cis"", ""sv-SE"": ""Fettsyror, enkelomättade cis""}",83
89,"FASAT","{""en-US"": ""Fatty acids, total saturated"", ""fi-FI"": ""Rasvahapot tyydyttyneet"", ""sv-SE"": ""Fettsyror, mättade""}",83
90,"FATRN","{""en-US"": ""Fatty acids, total trans"", ""fi-FI"": ""Rasvahapot trans"", ""sv-SE"": ""Fettsyror, trans""}",83
91,"FAPUN3","{""en-US"": ""Fatty acids, total n-3 polyunsaturated"", ""fi-FI"": ""Rasvahapot n-3 monityydyttymättömät"", ""sv-SE"": ""Fettsyror, n-3 fleromättade""}",83
92,"FAPUN6","{""en-US"": ""Fatty acids, total n-6 polyunsaturated"", ""fi-FI"": ""Rasvahapot n-6 monityydyttymättömät"", ""sv-SE"": ""Fettsyror, n-6 fleromättade""}",83
