"attribute.name[""en-US""]";sourceId;minValue;maxValue;unit;perUnit;minimumAge;maximumAge;sex;weight;pav;pal;note
fatty acids, total saturated;64;;10;percent;energy;;;;;;;
fatty acids, total trans;;;;;;;;;;;;
fatty acid unidentified;;;;;;;;;;;;
fatty acids, total n-3 polyunsaturated;;;;;;;;;;;;
fatty acids, total polyunsaturated n-3 fish;;;;;;;;;;;;
fatty acids, total polyunsaturated n-3 vegetable;;;;;;;;;;;;
fatty acids, total n-6 polyunsaturated;;;;;;;;;;;;
fatty acids 4:0-11:0;;;;;;;;;;;;
fatty acids 12:0-17:0;;;;;;;;;;;;
fatty acid isomers 18:0;;;;;;;;;;;;
fatty acids 19:0-26:0;;;;;;;;;;;;
fatty acids, monounsaturated, cis, remainder;;;;;;;;;;;;
fatty acids, monounsaturated, trans, remainder;;;;;;;;;;;;
fatty acid 4:0 (butyric acid);;;;;;;;;;;;
fatty acid 6:0 (caproic acid);;;;;;;;;;;;
fatty acid 8:0 (caprylic acid);;;;;;;;;;;;
fatty acid 9:0;;;;;;;;;;;;
fatty acid 10:0 (capric acid);;;;;;;;;;;;
fatty acid 11:0;;;;;;;;;;;;
fatty acid 12:0 (lauric acid);;;;;;;;;;;;
fatty acid 13:0 (tridecanoic acid);;;;;;;;;;;;
fatty acid 13:0 iso (isotridecanoic acid);;;;;;;;;;;;
fatty acid isomers 14:0;;;;;;;;;;;;
fatty acid 14:0 (myristic acid);;;;;;;;;;;;
fatty acid 14:0 anteiso;;;;;;;;;;;;
fatty acid 14:0 iso;;;;;;;;;;;;
fatty acid isomers 15:0;;;;;;;;;;;;
fatty acid 15:0 (pentadecylic acid);;;;;;;;;;;;
fatty acid 15:0 anteiso;;;;;;;;;;;;
fatty acid 15:0 iso;;;;;;;;;;;;
fatty acid isomers 16:0;;;;;;;;;;;;
fatty acid 16:0 (palmitic acid);;;;;;;;;;;;
fatty acid 16:0 anteiso;;;;;;;;;;;;
fatty acid 16:0 iso;;;;;;;;;;;;
fatty acid isomers 17:0;;;;;;;;;;;;
fatty acid 17:0 (margaric acid);;;;;;;;;;;;
fatty acid 17:0 anteiso;;;;;;;;;;;;
fatty acid 17:0 iso;;;;;;;;;;;;
fatty acid 18:0 (stearic acid);;;;;;;;;;;;
fatty acid 18:0 anteiso;;;;;;;;;;;;
fatty acid 18:0 iso;;;;;;;;;;;;
fatty acid 19:0;;;;;;;;;;;;
fatty acid isomers 20:0;;;;;;;;;;;;
fatty acid 20:0 (arachidic acid);;;;;;;;;;;;
fatty acid 20:0 iso;;;;;;;;;;;;
fatty acid 21:0;;;;;;;;;;;;
fatty acid 22:0 (behenic acid);;;;;;;;;;;;
fatty acid 23:0 (tricosanoic acid);;;;;;;;;;;;
fatty acid 24:0 (lignoceric acid);;;;;;;;;;;;
fatty acid 26:0;;;;;;;;;;;;
fatty acid 10:1 (caproleic acid);;;;;;;;;;;;
fatty acid 12:1 (lauroleic acid);;;;;;;;;;;;
fatty acid 14:1 (myristoleic acid);;;;;;;;;;;;
fatty acid 15:1 (pentadecenoic acid);;;;;;;;;;;;
fatty acid isomers 16:1;;;;;;;;;;;;
fatty acid 16:1 iso;;;;;;;;;;;;
fatty acid 16:1 n-5;;;;;;;;;;;;
fatty acid 16:1 n-7;;;;;;;;;;;;
fatty acid 16:1 n-9;;;;;;;;;;;;
fatty acid 17:1 (heptadecenoic acid);;;;;;;;;;;;
fatty acid 17:1 cis;;;;;;;;;;;;
fatty acid isomers 18:1;;;;;;;;;;;;
fatty acid 18:1 cis;;;;;;;;;;;;
fatty acid 18:1 n-5;;;;;;;;;;;;
fatty acid 18:1 n-7;;;;;;;;;;;;
fatty acid 18:1 n-9;;;;;;;;;;;;
fatty acid 18:1 iso;;;;;;;;;;;;
fatty acid 18:1 (octadecenoic acid);;;;;;;;;;;;
fatty acid 18:1 n-9 cis (oleic acid);;;;;;;;;;;;
fatty acid 18:1 trans n-9 (elaidic acid);;;;;;;;;;;;
fatty acid 19:1;;;;;;;;;;;;
fatty acid isomers 20:1;;;;;;;;;;;;
fatty acid 20:1 (eicosenoic acid);;;;;;;;;;;;
fatty acid 20:1 cis;;;;;;;;;;;;
fatty acid 20:1 n-9;;;;;;;;;;;;
fatty acid 20:1 n-11;;;;;;;;;;;;
fatty acid 21:5 (heneicosapentaenoic acid);;;;;;;;;;;;
fatty acid 22:1cis n-11 (cetoleic acid);;;;;;;;;;;;
fatty acid cis 22:1 n-9 (erucic acid);;;;;;;;;;;;
fatty acid trans 22:1 n-9 (brassidic acid);;;;;;;;;;;;
fatty acid isomers 22:1;;;;;;;;;;;;
fatty acid 22:1 (docosenoic acid);;;;;;;;;;;;
fatty acid 22:1 cis;;;;;;;;;;;;
fatty acid 22:1 n-7;;;;;;;;;;;;
fatty acid, 22:1 n-9;;;;;;;;;;;;
fatty acid, 22:1 n-11;;;;;;;;;;;;
fatty acid 24:1 (selacholeic acid);;;;;;;;;;;;
fatty acid 24:1 n-9;;;;;;;;;;;;
fatty acid 16:2;;;;;;;;;;;;
fatty acid 16:3;;;;;;;;;;;;
fatty acid 16:4;;;;;;;;;;;;
fatty acid 18:2 conjugated;;;;;;;;;;;;
fatty acid 18:2 iso;;;;;;;;;;;;
fatty acid isomers 18:2 cis;;;;;;;;;;;;
fatty acid 18:2 cis,cis n-6 (linoleic acid);;;;;;;;;;;;
fatty acid 18:2;;;;;;;;;;;;
